"","Conditions","Pre1","Pre2","Pre3","Pre4","Pre5","Pre6","Pre7","Pre8","Pre9","Pre10","Pre11","Pre12","Pre13","Pre14","Pre15","Post1","Post2","Post3","Post4","Post5","Post6","Post7","Post8","Post9","Post10","Post11","Post12","Post13","Post14","Post15"
"206",6,2,3,1,6,5,6,5,4,2,1,2,5,4,2,7,6,5,6,7,2,3,2,2,7,6,3,6,5,7,3
"207",6,5,6,6,4,6,5,5,4,4,5,3,3,6,5,6,6,5,6,4,5,6,6,5,4,3,3,3,3,4,6
"208",6,3,4,5,7,4,7,5,4,7,6,6,5,3,5,4,4,5,6,6,4,4,5,1,4,4,4,6,5,5,2
"209",6,2,3,4,5,6,5,4,5,4,3,2,5,4,3,5,4,5,4,5,4,3,3,2,6,4,2,4,6,5,3
"210",6,2,4,7,2,4,2,3,2,4,5,3,5,3,3,6,7,7,3,6,7,4,7,3,6,2,3,4,3,4,6
"211",6,7,7,6,5,5,6,5,6,3,6,4,3,7,7,4,7,7,6,7,6,7,6,7,5,5,7,5,7,7,7
"212",6,3,7,1,6,1,5,3,7,5,7,4,5,5,5,7,3,2,7,7,4,3,3,5,1,5,1,5,3,7,1
"213",6,3,2,4,6,4,5,7,6,4,2,4,6,4,2,5,6,4,6,4,3,4,3,2,4,5,4,5,6,5,3
"214",6,3,2,3,6,5,6,5,6,3,2,3,6,3,2,5,5,5,5,5,2,2,2,3,5,6,2,5,7,5,2
"215",6,2,4,6,6,5,1,6,5,7,3,5,1,7,1,5,4,3,3,4,3,2,6,3,3,3,2,2,1,3,3
"216",6,4,3,6,2,7,7,3,7,5,3,7,4,6,5,6,5,6,6,5,3,4,3,3,5,6,3,3,5,5,2
"217",6,5,6,5,7,6,7,3,7,3,2,1,6,7,7,7,7,6,3,7,7,7,4,7,5,5,7,6,4,1,4
"218",6,7,7,7,7,7,5,3,4,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7
"219",6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7
"220",6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,1,7,7,7,5,7,1,1,7,7,7,7,1
"221",6,1,2,1,6,7,7,6,7,2,1,2,7,2,1,6,6,6,6,6,1,1,1,2,6,7,1,6,7,6,1
"222",6,2,2,2,7,6,5,5,5,2,3,3,5,2,3,6,6,6,6,6,1,2,3,1,5,5,1,6,5,5,2
"223",6,6,5,6,4,7,5,5,6,5,7,6,5,7,7,7,4,3,3,5,7,7,7,7,6,6,7,5,6,6,7
"224",6,7,7,6,5,6,5,4,5,4,6,6,5,6,6,4,6,7,6,6,6,4,4,5,5,6,6,5,6,7,4
"225",6,7,6,6,6,6,5,6,5,4,5,3,5,6,5,5,2,5,5,6,7,5,5,5,6,5,5,5,6,6,6
"226",6,6,6,6,2,5,2,3,2,6,6,2,2,3,6,2,5,5,5,5,7,2,4,2,1,5,3,2,5,6,2
"227",6,2,1,5,6,7,4,1,4,1,4,6,5,1,4,1,7,1,5,4,5,4,1,4,5,6,5,3,7,6,2
"228",6,5,7,6,4,4,5,6,5,2,5,4,5,7,6,7,4,6,5,4,5,5,6,5,4,5,4,5,7,6,7
"229",6,5,6,5,2,2,2,2,2,4,4,4,1,6,6,5,5,6,3,3,4,2,3,2,1,3,3,1,5,5,5
"230",6,7,7,7,7,7,7,1,1,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"231",6,4,3,4,5,4,4,5,4,5,4,3,4,5,4,5,4,4,5,6,3,3,4,4,5,5,2,4,5,5,3
"232",6,5,6,3,6,7,7,7,7,2,2,6,5,3,2,5,6,7,5,7,7,7,7,7,6,6,7,6,6,5,6
"233",6,6,6,3,5,4,5,5,5,3,4,2,1,4,6,1,5,7,2,4,6,5,7,3,1,4,1,1,4,4,1
"234",6,3,3,3,4,4,5,4,5,3,4,5,4,4,5,4,3,3,4,3,2,5,4,4,4,3,4,3,4,4,5
"235",6,7,7,7,6,7,5,5,6,7,7,6,4,7,6,7,7,7,7,6,7,7,6,7,6,6,6,5,7,5,7
"236",6,2,3,4,6,4,5,4,3,2,3,4,5,4,2,7,5,5,5,4,2,3,2,3,4,3,4,4,5,6,4
"237",6,7,7,7,7,7,2,4,5,2,6,7,4,7,7,4,7,7,7,7,7,3,5,5,3,6,7,4,7,7,4
"238",6,3,2,3,6,5,6,5,6,3,3,3,6,3,2,5,5,5,5,5,2,2,2,3,5,6,2,5,6,5,2
"239",6,3,2,3,6,5,6,5,6,3,2,3,6,3,2,5,6,6,7,6,3,3,3,2,6,5,3,6,5,6,3
"240",7,6,6,6,7,7,7,7,7,6,6,6,2,6,4,7,4,3,1,4,4,4,7,7,1,4,7,1,7,1,7
"241",7,7,7,7,7,7,7,7,6,5,4,6,7,7,7,7,7,7,7,7,7,7,7,6,6,4,6,7,7,7,7
"242",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"243",7,6,7,6,6,7,6,6,5,6,7,7,5,7,7,6,7,7,7,7,7,7,7,6,5,7,7,6,7,7,7
"244",7,7,6,6,7,7,7,6,7,7,6,1,4,7,7,7,2,7,3,7,7,7,2,7,7,1,2,7,2,7,7
"245",7,7,7,7,7,7,6,7,7,2,6,6,5,7,1,7,7,7,7,7,7,7,1,7,6,6,6,6,7,7,7
"246",7,5,7,6,1,1,1,1,1,4,4,2,1,4,3,4,3,4,3,1,2,2,1,1,1,1,2,2,4,3,2
"247",7,2,3,2,5,7,5,6,5,2,1,2,5,2,1,6,7,7,7,7,2,2,2,2,6,6,1,7,6,7,2
"248",7,1,3,2,7,5,6,7,6,3,1,2,5,1,2,5,6,6,6,6,3,1,1,1,6,7,3,6,5,7,3
"249",7,1,4,7,7,7,1,1,7,4,4,4,4,1,4,4,4,6,5,7,7,5,6,5,4,4,3,5,1,4,4
"250",7,3,4,4,5,3,4,5,4,5,3,3,4,4,3,4,4,4,5,4,3,5,4,4,4,5,4,5,4,4,3
"251",7,6,7,7,6,7,6,4,6,3,5,2,2,7,7,6,6,6,6,7,7,6,4,6,6,4,5,4,7,7,7
"252",7,4,3,4,6,6,6,5,5,3,4,2,5,4,3,4,6,2,6,2,2,2,2,5,2,2,4,5,2,3,2
"253",7,4,5,5,6,6,5,5,4,5,4,3,5,4,4,5,5,5,4,5,6,4,5,6,5,5,3,5,4,5,5
"254",7,3,3,3,4,4,4,5,5,4,3,3,5,4,4,4,5,4,5,5,3,4,3,3,5,4,3,4,5,5,3
"255",7,1,2,1,7,5,6,7,7,3,2,1,6,1,3,7,7,5,6,7,1,2,4,1,7,6,1,5,7,6,3
"256",7,5,6,5,4,5,3,2,4,5,6,5,4,5,4,3,4,4,4,4,6,5,4,5,3,3,4,2,4,3,6
"257",7,1,2,1,6,7,6,7,6,1,2,1,6,1,3,7,6,6,5,7,1,1,2,1,7,5,2,6,5,7,2
"258",7,2,3,2,5,6,5,6,5,2,3,2,5,2,3,6,5,5,5,5,2,2,2,3,5,6,2,5,6,5,2
"259",7,7,7,7,7,7,7,7,7,5,5,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"260",7,3,2,2,4,5,1,2,2,4,5,6,3,7,7,7,3,3,3,5,4,3,6,2,4,4,7,4,7,7,7
"261",7,5,6,6,6,6,4,4,4,5,7,7,4,5,4,7,6,6,5,5,7,5,4,5,6,6,7,5,5,6,1
"262",7,7,7,7,7,7,6,6,5,5,5,3,1,7,7,7,7,7,7,7,7,7,1,7,7,7,4,6,7,4,7
"263",7,5,6,3,6,7,3,5,7,2,4,6,2,4,2,2,4,3,4,7,7,5,6,7,3,6,4,4,5,6,2
"264",7,3,2,3,5,6,5,6,6,3,2,3,6,2,3,6,6,6,6,6,3,3,3,2,6,5,3,6,5,6,3
"265",7,4,1,2,5,6,3,1,6,1,3,5,4,3,1,6,5,5,7,7,1,1,3,4,6,4,2,6,5,5,2
"266",7,6,6,7,6,6,1,4,5,6,6,6,5,7,7,6,6,6,6,5,7,5,5,3,5,5,6,5,6,6,7
"267",7,7,6,6,5,6,5,6,6,4,6,5,5,7,6,6,1,6,5,5,7,6,6,5,5,6,5,6,7,6,7
"268",7,7,7,7,7,7,7,4,4,4,3,3,5,2,2,5,7,5,4,6,3,7,3,7,6,6,6,5,7,6,7
"269",7,7,7,7,7,7,7,7,7,6,4,7,1,7,7,7,7,7,7,7,7,7,2,7,7,7,7,5,7,7,1
"270",7,5,6,6,6,6,5,6,5,3,4,7,3,6,3,1,1,7,6,7,7,7,7,7,7,6,7,6,7,6,6
"271",7,7,6,7,7,7,6,7,6,7,1,7,1,7,1,7,7,7,7,5,7,7,7,7,7,1,7,7,7,7,7
"272",7,7,7,4,1,7,5,5,5,7,7,4,5,7,4,7,6,1,5,7,7,7,5,7,4,7,7,6,7,7,7
"273",7,7,7,7,7,7,5,5,4,5,6,4,1,7,7,5,1,7,7,7,7,7,7,7,5,6,6,4,7,7,7
"274",7,6,7,6,4,7,4,3,4,2,4,2,2,4,5,7,6,3,3,6,7,4,4,4,3,2,2,3,4,5,7
"275",7,5,5,5,6,7,3,5,4,7,6,1,1,4,5,1,5,6,6,7,7,5,7,5,5,4,5,4,3,5,3
"276",7,7,6,6,7,7,5,6,5,1,6,6,6,7,7,7,1,6,6,7,7,7,7,7,7,7,1,7,7,7,7
"277",7,7,7,5,6,7,7,7,7,3,3,1,2,5,1,3,7,7,6,7,7,7,7,7,6,2,7,5,5,5,6
"278",7,4,6,7,3,7,5,5,4,3,5,5,3,7,7,7,2,5,5,4,7,5,5,5,4,6,2,4,6,7,7
"279",8,1,3,3,4,5,2,2,1,4,4,4,4,5,6,4,3,2,2,4,3,1,2,1,2,2,2,4,6,4,4
"280",8,1,5,6,6,7,7,7,5,3,6,3,7,7,5,7,3,7,6,5,7,3,5,3,7,1,7,1,7,7,7
"281",8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"282",8,5,6,6,6,6,4,5,5,4,3,2,5,7,7,7,4,5,4,3,4,3,4,5,3,3,1,3,4,4,7
"283",8,6,6,4,5,4,3,5,5,5,6,6,5,6,5,4,6,7,5,6,5,5,6,5,6,6,7,7,6,6,6
"284",8,6,7,6,6,7,7,6,6,5,6,7,1,6,2,7,6,5,6,4,5,7,6,7,7,1,7,5,5,5,7
"285",8,2,3,1,5,6,4,7,4,2,4,1,4,2,4,7,5,4,3,4,2,1,2,3,4,7,2,4,6,4,1
"286",8,7,7,7,7,7,4,5,5,4,4,2,7,7,4,7,1,7,7,6,7,4,6,4,4,4,3,7,7,4,7
"287",8,7,7,7,6,7,7,7,7,1,5,5,4,4,4,7,1,7,3,6,7,7,6,7,6,6,7,6,5,4,7
"288",8,5,6,6,5,5,5,5,4,3,4,2,4,6,6,7,5,5,5,5,6,6,6,6,4,4,3,3,6,6,7
"289",8,5,7,3,5,1,2,3,1,6,6,7,3,7,4,5,5,6,5,5,5,1,2,3,5,2,7,3,5,4,1
"290",8,1,7,3,6,1,6,6,2,3,4,6,7,6,2,4,6,5,4,6,1,4,2,1,2,3,1,2,1,6,7
"291",8,6,7,5,4,6,6,7,7,6,7,3,5,6,2,3,7,5,3,2,7,6,2,5,5,6,3,5,3,7,3
"292",8,3,2,1,4,7,5,7,7,5,6,2,2,3,6,7,2,4,5,7,6,7,5,7,6,3,2,5,5,6,4
"293",8,7,7,7,5,6,2,7,4,2,6,6,4,7,6,5,7,7,7,7,7,2,7,2,3,5,4,4,7,6,5
"294",8,2,3,2,5,5,5,6,4,2,3,2,6,2,2,5,6,6,6,5,3,3,3,2,7,4,3,6,4,6,2
"295",8,7,7,7,6,6,7,6,5,4,6,4,3,5,3,6,7,7,7,7,7,7,7,7,5,5,4,4,5,6,7
"296",8,3,6,7,7,7,1,5,7,5,3,6,7,7,6,7,3,7,1,7,7,6,3,7,3,3,6,5,1,1,6
"297",8,3,2,3,4,5,2,5,5,2,3,3,5,2,2,7,4,2,2,3,2,4,5,6,3,4,4,5,3,2,5
"298",8,2,3,4,6,5,4,7,6,3,4,2,5,4,2,5,4,5,5,4,4,1,2,2,7,6,4,6,5,6,3
"299",8,7,7,7,4,4,1,1,1,4,4,1,1,7,1,7,4,4,7,4,4,1,4,1,1,1,1,1,4,1,7
"300",8,7,7,7,7,7,6,7,6,4,4,4,6,7,7,5,7,6,7,5,7,7,7,7,7,7,7,7,7,7,7
"301",8,3,3,6,2,2,1,2,1,2,4,2,1,6,6,1,5,4,4,4,4,1,2,1,2,2,2,4,5,4,1
"302",8,4,2,3,5,4,6,6,5,4,3,2,4,3,2,4,4,4,4,6,4,3,3,3,5,5,3,6,4,6,2
"303",8,3,2,1,6,5,4,5,6,3,2,1,6,1,2,5,6,6,6,4,3,1,3,2,6,5,2,6,5,7,3
"304",8,1,2,3,4,3,2,3,4,3,2,1,6,3,4,3,5,7,3,5,2,4,4,1,5,6,6,3,4,4,2
